item cond frame
25 9 1
29 9 1
30 9 1
28 9 1
26 9 1
27 9 1
7 3 3
4 1 1
20 1 1
18 2 2
15 3 3
18 1 1
4 2 2
13 3 3
11 2 2
12 1 1
19 1 1
10 1 1
13 2 2
21 2 2
17 1 1
14 3 3
13 1 1
1 1 1
12 2 2
6 3 3
5 2 2
16 1 1
3 1 1
19 2 2
5 3 3
10 3 3
15 2 2
18 3 3
22 2 2
20 2 2
7 1 1
11 1 1
2 2 2
1 2 2
2 1 1
17 2 2
11 3 3
9 3 3
3 3 3
24 2 2
23 2 2
24 1 1
8 2 2
8 1 1
21 3 3
14 2 2
14 1 1
23 1 1
15 1 1
4 3 3
16 2 2
20 3 3
9 2 2
22 3 3
2 3 3
3 2 2
24 3 3
5 1 1
12 3 3
9 1 1
17 3 3
16 3 3
19 3 3
6 2 2
21 1 1
8 3 3
23 3 3
6 1 1
7 2 2
22 1 1
10 2 2
1 3 3
