item cond frame
25 9 1
27 9 1
26 9 1
30 9 1
28 9 1
29 9 1
10 1 3
18 1 3
1 1 3
8 1 3
22 3 2
23 3 2
12 2 1
20 2 1
12 1 3
24 3 2
24 2 1
16 3 2
16 1 3
19 2 1
16 2 1
17 3 2
7 2 1
23 2 1
2 3 2
11 1 3
4 3 2
6 1 3
14 2 1
2 2 1
24 1 3
5 1 3
8 3 2
20 3 2
11 3 2
13 2 1
1 3 2
3 1 3
9 2 1
1 2 1
12 3 2
10 2 1
11 2 1
18 2 1
15 3 2
15 1 3
21 2 1
5 3 2
3 3 2
20 1 3
22 1 3
7 1 3
6 2 1
4 2 1
23 1 3
21 3 2
18 3 2
15 2 1
19 3 2
7 3 2
14 3 2
4 1 3
17 2 1
17 1 3
9 3 2
19 1 3
8 2 1
3 2 1
10 3 2
21 1 3
5 2 1
2 1 3
14 1 3
13 1 3
22 2 1
9 1 3
13 3 2
6 3 2
