item cond frame
27 9 1
29 9 1
25 9 1
28 9 1
26 9 1
30 9 1
9 2 2
4 1 1
15 1 1
19 3 3
5 3 3
22 3 3
8 1 1
24 1 1
17 3 3
10 1 1
19 1 1
6 1 1
10 2 2
16 2 2
9 1 1
13 2 2
8 2 2
12 3 3
19 2 2
6 3 3
20 2 2
18 2 2
1 2 2
20 1 1
15 2 2
13 1 1
21 3 3
2 2 2
14 2 2
17 1 1
6 2 2
10 3 3
1 3 3
11 1 1
16 3 3
11 3 3
14 1 1
13 3 3
7 3 3
3 1 1
22 2 2
17 2 2
21 2 2
15 3 3
2 1 1
11 2 2
12 1 1
2 3 3
18 1 1
4 3 3
24 3 3
5 1 1
8 3 3
14 3 3
21 1 1
23 1 1
7 2 2
1 1 1
9 3 3
20 3 3
16 1 1
3 3 3
23 3 3
12 2 2
24 2 2
7 1 1
22 1 1
5 2 2
18 3 3
23 2 2
3 2 2
4 2 2
