item cond emot
78 9 PRAC
75 9 PRAC
74 9 PRAC
73 9 PRAC
77 9 PRAC
76 9 PRAC
9 3 positive
10 1 negative
19 3 positive
5 1 negative
4 2 neutral
13 1 negative
10 2 neutral
18 1 negative
14 3 positive
21 3 positive
8 1 negative
11 3 positive
1 2 neutral
24 2 neutral
16 3 positive
6 3 positive
22 2 neutral
19 2 neutral
15 1 negative
3 2 neutral
12 3 positive
7 2 neutral
5 3 positive
10 3 positive
7 3 positive
8 3 positive
4 1 negative
23 2 neutral
17 3 positive
20 3 positive
2 1 negative
20 1 negative
22 1 negative
23 1 negative
8 2 neutral
1 1 negative
15 2 neutral
2 3 positive
9 1 negative
3 3 positive
16 2 neutral
18 3 positive
11 2 neutral
5 2 neutral
2 2 neutral
21 1 negative
18 2 neutral
3 1 negative
4 3 positive
14 1 negative
13 2 neutral
21 2 neutral
9 2 neutral
17 2 neutral
15 3 positive
17 1 negative
24 1 negative
7 1 negative
1 3 positive
20 2 neutral
12 2 neutral
24 3 positive
12 1 negative
23 3 positive
11 1 negative
6 2 neutral
22 3 positive
19 1 negative
14 2 neutral
16 1 negative
6 1 negative
13 3 positive
