item cond frame
30 9 1
26 9 1
25 9 1
27 9 1
29 9 1
28 9 1
19 2 3
19 3 1
8 3 1
13 1 2
7 2 3
7 1 2
14 1 2
2 2 3
1 1 2
15 2 3
21 1 2
17 1 2
8 2 3
1 3 1
13 2 3
21 2 3
11 2 3
17 3 1
20 1 2
12 1 2
3 2 3
21 3 1
23 3 1
16 3 1
6 1 2
22 1 2
14 3 1
23 1 2
18 3 1
24 2 3
9 2 3
6 3 1
4 3 1
16 2 3
13 3 1
8 1 2
10 3 1
3 3 1
24 3 1
15 3 1
10 1 2
11 1 2
9 1 2
22 2 3
23 2 3
24 1 2
5 3 1
18 2 3
14 2 3
22 3 1
17 2 3
6 2 3
4 2 3
19 1 2
4 1 2
5 2 3
16 1 2
5 1 2
11 3 1
1 2 3
3 1 2
2 3 1
15 1 2
7 3 1
2 1 2
10 2 3
9 3 1
20 2 3
12 2 3
20 3 1
12 3 1
18 1 2
