item cond emot
73 9 PRAC
78 9 PRAC
74 9 PRAC
75 9 PRAC
77 9 PRAC
76 9 PRAC
16 3 positive
20 2 neutral
8 3 positive
14 1 negative
6 3 positive
16 1 negative
2 2 neutral
24 1 negative
9 3 positive
22 1 negative
6 1 negative
4 1 negative
11 1 negative
8 1 negative
22 2 neutral
16 2 neutral
11 2 neutral
5 2 neutral
7 3 positive
18 1 negative
23 2 neutral
13 1 negative
9 2 neutral
24 2 neutral
11 3 positive
20 3 positive
13 3 positive
19 3 positive
24 3 positive
1 3 positive
21 1 negative
6 2 neutral
12 3 positive
4 3 positive
15 3 positive
17 3 positive
23 1 negative
7 2 neutral
1 2 neutral
22 3 positive
15 2 neutral
8 2 neutral
12 2 neutral
4 2 neutral
1 1 negative
7 1 negative
21 3 positive
18 3 positive
21 2 neutral
20 1 negative
17 2 neutral
14 2 neutral
5 1 negative
15 1 negative
3 2 neutral
12 1 negative
19 1 negative
18 2 neutral
13 2 neutral
2 3 positive
3 3 positive
23 3 positive
3 1 negative
9 1 negative
10 2 neutral
10 3 positive
10 1 negative
5 3 positive
17 1 negative
14 3 positive
2 1 negative
19 2 neutral
