item cond frame
30 9 1
26 9 1
27 9 1
25 9 1
28 9 1
29 9 1
3 3 1
21 3 1
12 3 1
7 3 1
19 1 2
7 2 3
10 2 3
8 3 1
1 3 1
9 2 3
17 1 2
4 2 3
19 2 3
6 2 3
5 2 3
6 1 2
16 3 1
18 3 1
5 3 1
2 2 3
3 1 2
23 2 3
2 1 2
24 1 2
11 1 2
18 2 3
8 1 2
11 3 1
20 1 2
10 3 1
24 3 1
3 2 3
14 1 2
12 2 3
4 1 2
2 3 1
15 3 1
15 2 3
21 1 2
9 3 1
10 1 2
16 2 3
16 1 2
13 1 2
4 3 1
17 3 1
18 1 2
22 3 1
17 2 3
22 1 2
7 1 2
14 3 1
12 1 2
23 1 2
20 2 3
11 2 3
13 3 1
15 1 2
8 2 3
1 1 2
20 3 1
14 2 3
6 3 1
22 2 3
5 1 2
13 2 3
19 3 1
24 2 3
1 2 3
9 1 2
23 3 1
21 2 3
