item cond frame
26 9 1
25 9 1
27 9 1
30 9 1
29 9 1
28 9 1
22 1 3
7 3 2
13 3 2
24 1 3
19 3 2
15 3 2
22 2 1
11 3 2
23 2 1
21 1 3
14 1 3
15 2 1
19 1 3
16 2 1
12 3 2
10 1 3
6 1 3
8 3 2
10 2 1
24 2 1
13 2 1
21 2 1
12 1 3
14 3 2
1 3 2
21 3 2
16 3 2
9 3 2
2 1 3
15 1 3
7 2 1
10 3 2
2 2 1
17 3 2
11 1 3
4 3 2
17 2 1
9 2 1
2 3 2
13 1 3
16 1 3
5 3 2
12 2 1
9 1 3
4 2 1
20 2 1
18 2 1
3 1 3
5 1 3
23 3 2
1 2 1
20 3 2
7 1 3
23 1 3
19 2 1
8 2 1
1 1 3
5 2 1
6 3 2
14 2 1
24 3 2
3 3 2
6 2 1
18 1 3
17 1 3
8 1 3
4 1 3
22 3 2
20 1 3
18 3 2
11 2 1
3 2 1
